transaction_id,user_id,transaction_datetime,amount,merchant_category,transaction_channel,device_type,location,is_fraud
500099,1,25-01-2024 18:00,1566.04,Shopping,UPI,iPhone,Mumbai,0
500100,1,26-01-2024 00:00,1296.25,Pharmacy,UPI,Android,Chennai,0
500101,1,26-01-2024 06:00,1449.33,Utilities,UPI,Android,Hyderabad,0
500102,1,26-01-2024 12:00,1847.49,Travel,Net Banking,Android,Hyderabad,0
500103,1,26-01-2024 18:00,1355.96,Shopping,Mobile Banking,iPhone,Delhi,0
500104,1,27-01-2024 00:00,1359.38,Pharmacy,UPI,Android,Chennai,0
500105,1,27-01-2024 06:00,1394.68,Grocery,UPI,Web Browser,Hyderabad,0
500106,1,27-01-2024 12:00,1467.38,Shopping,POS Machine,iPhone,Mumbai,0
500107,1,27-01-2024 18:00,1300.48,Grocery,Card Swipe,Web Browser,Delhi,0
500108,1,28-01-2024 00:00,1467.23,Bill Payment,Card Swipe,iPhone,Chennai,0
500109,1,28-01-2024 06:00,1021.93,Pharmacy,Net Banking,iPhone,Pune,0
500110,1,28-01-2024 12:00,1420.14,Grocery,POS Machine,Android,Chennai,0
500111,1,28-01-2024 18:00,1370.24,Travel,Net Banking,Android,Mumbai,0
500112,1,29-01-2024 00:00,1323.43,Online Store,Mobile Banking,Android,Chennai,0
500113,1,29-01-2024 06:00,1278.42,Bill Payment,Net Banking,Web Browser,Chennai,0
500114,1,29-01-2024 12:00,1255,Online Store,POS Machine,iPhone,Chennai,0
500115,1,29-01-2024 18:00,1219.36,Bill Payment,Card Swipe,iPhone,Chennai,0
500116,1,30-01-2024 00:00,956.66,Restaurants,Net Banking,Web Browser,Delhi,0
500117,1,30-01-2024 06:00,1314.61,Utilities,UPI,iPhone,Mumbai,0
500118,1,30-01-2024 12:00,1552.82,Online Store,POS Machine,iPhone,Delhi,0
500119,1,30-01-2024 18:00,1302.84,Pharmacy,UPI,Android,Hyderabad,0
500120,1,31-01-2024 00:00,1472.29,Utilities,Card Swipe,Android,Delhi,0
500121,1,31-01-2024 06:00,1172.8,Grocery,POS Machine,Android,Delhi,0
500122,1,31-01-2024 12:00,1133.42,Travel,Mobile Banking,iPhone,Hyderabad,0
500123,1,31-01-2024 18:00,1230.32,Travel,Net Banking,Web Browser,Bangalore,0
500124,1,01-02-2024 00:00,1182.35,Pharmacy,UPI,Web Browser,Bangalore,0
500125,1,01-02-2024 06:00,1154.84,Travel,POS Machine,Android,Bangalore,0
500126,1,01-02-2024 12:00,7531.07,Electronics,International Gateway,Rooted Android,International,1
500127,1,01-02-2024 18:00,4789.51,Crypto Exchange,International Gateway,VPN Desktop,International,1
500128,1,02-02-2024 00:00,4980.35,Crypto Exchange,International Gateway,Emulator,International,1
500129,1,02-02-2024 06:00,5752.04,Electronics,International Gateway,Rooted Android,International,1
500130,1,02-02-2024 12:00,3662.43,Electronics,International Gateway,Emulator,Unknown Location,1
500131,2,01-01-2024 00:00,888.69,Online Store,Net Banking,Android,Chennai,0
500132,2,01-01-2024 06:00,619.66,Grocery,UPI,Android,Mumbai,0
500133,2,01-01-2024 12:00,742.58,Grocery,Card Swipe,iPhone,Hyderabad,0
500134,2,01-01-2024 18:00,981.55,Online Store,Net Banking,Web Browser,Bangalore,0
500135,2,02-01-2024 00:00,853.63,Travel,Net Banking,Web Browser,Bangalore,0
500136,2,02-01-2024 06:00,585.63,Online Store,Card Swipe,Web Browser,Hyderabad,0
500137,2,02-01-2024 12:00,992.87,Grocery,POS Machine,iPhone,Bangalore,0
500138,2,02-01-2024 18:00,419.82,Utilities,Mobile Banking,iPhone,Mumbai,0
500139,2,03-01-2024 00:00,628.12,Grocery,Mobile Banking,Android,Bangalore,0
500140,2,03-01-2024 06:00,452.19,Restaurants,UPI,iPhone,Pune,0
500141,2,03-01-2024 12:00,887.61,Travel,Card Swipe,iPhone,Hyderabad,0
500142,2,03-01-2024 18:00,1085.86,Pharmacy,Card Swipe,Android,Chennai,0
500143,2,04-01-2024 00:00,773.58,Travel,Mobile Banking,Web Browser,Pune,0
500144,2,04-01-2024 06:00,725.72,Shopping,POS Machine,Web Browser,Hyderabad,0
500145,2,04-01-2024 12:00,418.61,Online Store,Mobile Banking,Android,Pune,0
500146,2,04-01-2024 18:00,474.34,Utilities,Mobile Banking,iPhone,Bangalore,0
500147,2,05-01-2024 00:00,315.75,Restaurants,Net Banking,Web Browser,Pune,0
500148,2,05-01-2024 06:00,2.07,Utilities,Card Swipe,Web Browser,Bangalore,0
500149,2,05-01-2024 12:00,575.02,Shopping,POS Machine,Web Browser,Chennai,0
500150,2,05-01-2024 18:00,605.05,Bill Payment,Card Swipe,iPhone,Bangalore,0
500151,2,06-01-2024 00:00,1403.63,Utilities,Card Swipe,Android,Chennai,0
500152,2,06-01-2024 06:00,1206.48,Bill Payment,UPI,Android,Pune,0
500153,2,06-01-2024 12:00,880.97,Pharmacy,POS Machine,Android,Hyderabad,0
500154,2,06-01-2024 18:00,1375.07,Online Store,Card Swipe,Android,Pune,0
500155,2,07-01-2024 00:00,1150.92,Restaurants,Card Swipe,Android,Chennai,0
500156,2,07-01-2024 06:00,52.58,Pharmacy,Mobile Banking,iPhone,Mumbai,0
500157,2,07-01-2024 12:00,1046.38,Travel,Net Banking,Web Browser,Mumbai,0
500158,2,07-01-2024 18:00,931.33,Travel,Mobile Banking,Android,Delhi,0
500159,2,08-01-2024 00:00,607.88,Travel,POS Machine,iPhone,Mumbai,0
500160,2,08-01-2024 06:00,244.02,Grocery,Net Banking,Web Browser,Hyderabad,0
500161,2,08-01-2024 12:00,893.82,Restaurants,UPI,Android,Mumbai,0
500162,2,08-01-2024 18:00,29.45,Bill Payment,POS Machine,Android,Hyderabad,0
500163,2,09-01-2024 00:00,694.46,Bill Payment,UPI,Web Browser,Pune,0
500164,2,09-01-2024 06:00,501.96,Grocery,Card Swipe,Web Browser,Chennai,0
500165,2,09-01-2024 12:00,294.56,Bill Payment,Card Swipe,Web Browser,Delhi,0
500166,2,09-01-2024 18:00,1085.6,Pharmacy,UPI,Web Browser,Bangalore,0
500167,2,10-01-2024 00:00,688.05,Utilities,Net Banking,Web Browser,Chennai,0
500168,2,10-01-2024 06:00,757.62,Online Store,UPI,Web Browser,Pune,0
500169,2,10-01-2024 12:00,994.81,Travel,Mobile Banking,Android,Mumbai,0
500170,2,10-01-2024 18:00,698.56,Shopping,Net Banking,iPhone,Delhi,0
500171,2,11-01-2024 00:00,847.29,Utilities,Card Swipe,Android,Mumbai,0
500172,2,11-01-2024 06:00,965.07,Restaurants,UPI,Android,Mumbai,0
500173,2,11-01-2024 12:00,884.57,Utilities,POS Machine,Web Browser,Hyderabad,0
500174,2,11-01-2024 18:00,793.82,Online Store,UPI,Web Browser,Mumbai,0
500175,2,12-01-2024 00:00,1277.67,Online Store,Mobile Banking,iPhone,Bangalore,0
500176,2,12-01-2024 06:00,1102.79,Pharmacy,Net Banking,iPhone,Chennai,0
500177,2,12-01-2024 12:00,673.68,Shopping,UPI,Android,Hyderabad,0
500178,2,12-01-2024 18:00,407.4,Travel,Net Banking,iPhone,Mumbai,0
500179,2,13-01-2024 00:00,907.79,Travel,Net Banking,Web Browser,Delhi,0
500180,2,13-01-2024 06:00,771.16,Bill Payment,POS Machine,Android,Delhi,0
500181,2,13-01-2024 12:00,1253.72,Travel,Net Banking,Web Browser,Pune,0
500182,2,13-01-2024 18:00,1020.54,Grocery,Mobile Banking,Web Browser,Bangalore,0
500183,2,14-01-2024 00:00,948.38,Online Store,Card Swipe,iPhone,Bangalore,0
500184,2,14-01-2024 06:00,705.58,Travel,Card Swipe,Android,Pune,0
500185,2,14-01-2024 12:00,418.38,Online Store,Card Swipe,Web Browser,Hyderabad,0
500186,2,14-01-2024 18:00,637.42,Online Store,UPI,Android,Bangalore,0
500187,2,15-01-2024 00:00,855.5,Online Store,Net Banking,Web Browser,Hyderabad,0
500188,2,15-01-2024 06:00,142.42,Online Store,UPI,Web Browser,Hyderabad,0
500189,2,15-01-2024 12:00,1102.7,Pharmacy,Net Banking,Android,Pune,0
500190,2,15-01-2024 18:00,1369.44,Restaurants,Card Swipe,Web Browser,Chennai,0
500191,2,16-01-2024 00:00,72.82,Online Store,Net Banking,Android,Chennai,0
500192,2,16-01-2024 06:00,248.87,Shopping,Card Swipe,Web Browser,Delhi,0
500193,2,16-01-2024 12:00,775.62,Restaurants,UPI,Web Browser,Hyderabad,0
500194,2,16-01-2024 18:00,513.12,Pharmacy,Mobile Banking,Web Browser,Pune,0
500195,2,17-01-2024 00:00,785.72,Shopping,POS Machine,iPhone,Delhi,0
500196,2,17-01-2024 06:00,678.23,Grocery,Mobile Banking,Web Browser,Delhi,0
500197,2,17-01-2024 12:00,370.51,Restaurants,Card Swipe,Web Browser,Pune,0
500198,2,17-01-2024 18:00,1117.79,Utilities,Mobile Banking,Android,Chennai,0
500199,2,18-01-2024 00:00,851.52,Online Store,UPI,iPhone,Hyderabad,0
500200,2,18-01-2024 06:00,520.5,Utilities,Net Banking,iPhone,Chennai,0
500201,2,18-01-2024 12:00,1187.8,Utilities,UPI,iPhone,Chennai,0
500202,2,18-01-2024 18:00,537.09,Online Store,Net Banking,iPhone,Mumbai,0
500203,2,19-01-2024 00:00,300.05,Bill Payment,Net Banking,Android,Chennai,0
500204,2,19-01-2024 06:00,760.71,Grocery,Card Swipe,Android,Mumbai,0
500205,2,19-01-2024 12:00,815.53,Restaurants,UPI,iPhone,Chennai,0
500206,2,19-01-2024 18:00,873.31,Pharmacy,POS Machine,iPhone,Delhi,0
500207,2,20-01-2024 00:00,926.45,Shopping,Mobile Banking,iPhone,Hyderabad,0
500208,2,20-01-2024 06:00,868.2,Pharmacy,Card Swipe,Android,Delhi,0
500209,2,20-01-2024 12:00,855.07,Utilities,UPI,iPhone,Delhi,0
500210,2,20-01-2024 18:00,515.97,Grocery,Mobile Banking,Android,Chennai,0
500211,2,21-01-2024 00:00,481.39,Bill Payment,POS Machine,Web Browser,Hyderabad,0
500212,2,21-01-2024 06:00,941.32,Bill Payment,Mobile Banking,Web Browser,Mumbai,0
500213,2,21-01-2024 12:00,780.08,Restaurants,Net Banking,iPhone,Pune,0
500214,2,21-01-2024 18:00,966.49,Shopping,UPI,Android,Delhi,0
500215,2,22-01-2024 00:00,149.63,Shopping,UPI,iPhone,Hyderabad,0
500216,2,22-01-2024 06:00,539.55,Utilities,Card Swipe,iPhone,Delhi,0
500217,2,22-01-2024 12:00,4466.56,Electronics,International Gateway,Emulator,Unknown Location,1
500218,2,22-01-2024 18:00,2796.25,Electronics,International Gateway,Emulator,Unknown Location,1
500219,2,23-01-2024 00:00,2577.67,Crypto Exchange,Unknown API,Rooted Android,International,1
500220,2,23-01-2024 06:00,2491.76,Luxury,Unknown API,Emulator,International,1
500221,2,23-01-2024 12:00,1485.77,Crypto Exchange,International Gateway,Rooted Android,International,1
500222,2,23-01-2024 18:00,3192.84,Luxury,International Gateway,Emulator,Proxy Node,1
500223,2,24-01-2024 00:00,2659.6,Electronics,Unknown API,VPN Desktop,Unknown Location,1
500224,2,24-01-2024 06:00,2323.51,Luxury,International Gateway,VPN Desktop,Proxy Node,1
500225,3,01-01-2024 00:00,1886.31,Pharmacy,Net Banking,iPhone,Delhi,0
500226,3,01-01-2024 06:00,1826.73,Grocery,Card Swipe,Web Browser,Pune,0
500227,3,01-01-2024 12:00,1700.03,Utilities,Mobile Banking,Android,Chennai,0
500228,3,01-01-2024 18:00,1521.06,Utilities,POS Machine,iPhone,Pune,0
500229,3,02-01-2024 00:00,983.21,Pharmacy,UPI,iPhone,Mumbai,0
500230,3,02-01-2024 06:00,1690.04,Bill Payment,UPI,iPhone,Delhi,0
500231,3,02-01-2024 12:00,1615,Online Store,Net Banking,iPhone,Delhi,0
500232,3,02-01-2024 18:00,1636.6,Travel,Mobile Banking,Web Browser,Bangalore,0
500233,3,03-01-2024 00:00,1113.11,Utilities,Mobile Banking,Web Browser,Hyderabad,0
500234,3,03-01-2024 06:00,1179.28,Pharmacy,UPI,iPhone,Bangalore,0
500235,3,03-01-2024 12:00,1900.85,Pharmacy,Card Swipe,Web Browser,Delhi,0
500236,3,03-01-2024 18:00,1531.41,Bill Payment,Card Swipe,Android,Pune,0
500237,3,04-01-2024 00:00,1775.2,Grocery,Net Banking,Android,Mumbai,0
500238,3,04-01-2024 06:00,1554.36,Restaurants,Mobile Banking,Android,Bangalore,0
500239,3,04-01-2024 12:00,1554.84,Utilities,Card Swipe,Web Browser,Chennai,0
500240,3,04-01-2024 18:00,1862.02,Utilities,Net Banking,Web Browser,Bangalore,0
500241,3,05-01-2024 00:00,1370.31,Grocery,POS Machine,Android,Hyderabad,0
500242,3,05-01-2024 06:00,1577.28,Restaurants,Mobile Banking,Web Browser,Pune,0
500243,3,05-01-2024 12:00,1388.49,Travel,Net Banking,Android,Hyderabad,0
500244,3,05-01-2024 18:00,1397.88,Pharmacy,Net Banking,Android,Delhi,0
500245,3,06-01-2024 00:00,1440.25,Utilities,Card Swipe,Android,Bangalore,0
500246,3,06-01-2024 06:00,1619.89,Online Store,UPI,Android,Pune,0
500247,3,06-01-2024 12:00,1382.92,Bill Payment,POS Machine,Web Browser,Pune,0
500248,3,06-01-2024 18:00,1969.35,Travel,UPI,Android,Hyderabad,0
500249,3,07-01-2024 00:00,1242.32,Shopping,Net Banking,iPhone,Delhi,0
500250,3,07-01-2024 06:00,1481.6,Utilities,Net Banking,Android,Pune,0
500251,3,07-01-2024 12:00,1396.11,Shopping,POS Machine,iPhone,Bangalore,0
500252,3,07-01-2024 18:00,2034,Utilities,UPI,iPhone,Chennai,0
500253,3,08-01-2024 00:00,1611.24,Restaurants,UPI,iPhone,Pune,0
500254,3,08-01-2024 06:00,1893.65,Utilities,POS Machine,Android,Chennai,0
500255,3,08-01-2024 12:00,1042.51,Online Store,UPI,Web Browser,Chennai,0
500256,3,08-01-2024 18:00,1635.07,Travel,Mobile Banking,Android,Delhi,0
500257,3,09-01-2024 00:00,1845.57,Online Store,Net Banking,Android,Mumbai,0
500258,3,09-01-2024 06:00,1572.6,Online Store,Mobile Banking,iPhone,Chennai,0
500259,3,09-01-2024 12:00,1905.02,Online Store,Card Swipe,iPhone,Chennai,0
500260,3,09-01-2024 18:00,1369.89,Online Store,Net Banking,Android,Mumbai,0
500261,3,10-01-2024 00:00,2021.28,Grocery,POS Machine,iPhone,Mumbai,0
500262,3,10-01-2024 06:00,2322.04,Online Store,Net Banking,iPhone,Bangalore,0
500263,3,10-01-2024 12:00,1422.11,Online Store,UPI,Android,Pune,0
500264,3,10-01-2024 18:00,1394.16,Grocery,POS Machine,Android,Delhi,0
500265,3,11-01-2024 00:00,2036.17,Online Store,Card Swipe,Android,Delhi,0
500266,3,11-01-2024 06:00,2078.83,Grocery,UPI,Android,Hyderabad,0
500267,3,11-01-2024 12:00,1368,Travel,UPI,Android,Pune,0
500268,3,11-01-2024 18:00,1402.72,Bill Payment,Card Swipe,iPhone,Delhi,0
500269,3,12-01-2024 00:00,1449.51,Travel,Card Swipe,iPhone,Delhi,0
500270,3,12-01-2024 06:00,1090.22,Bill Payment,POS Machine,Android,Bangalore,0
500271,3,12-01-2024 12:00,1234.19,Shopping,Net Banking,Web Browser,Chennai,0
500272,3,12-01-2024 18:00,1205.28,Grocery,UPI,Web Browser,Mumbai,0
500273,3,13-01-2024 00:00,1285.19,Bill Payment,POS Machine,iPhone,Pune,0
500274,3,13-01-2024 06:00,1533.06,Travel,POS Machine,iPhone,Bangalore,0
500275,3,13-01-2024 12:00,1623.97,Restaurants,Net Banking,iPhone,Delhi,0
500276,3,13-01-2024 18:00,2069.01,Travel,Card Swipe,Web Browser,Bangalore,0
500277,3,14-01-2024 00:00,1207.24,Restaurants,UPI,iPhone,Chennai,0
500278,3,14-01-2024 06:00,1877.58,Pharmacy,Card Swipe,iPhone,Pune,0
500279,3,14-01-2024 12:00,1472.43,Restaurants,POS Machine,Android,Mumbai,0
500280,3,14-01-2024 18:00,1528.06,Shopping,Net Banking,iPhone,Bangalore,0
500281,3,15-01-2024 00:00,1772.94,Restaurants,POS Machine,Android,Hyderabad,0
500282,3,15-01-2024 06:00,1165.19,Restaurants,Mobile Banking,Web Browser,Bangalore,0
500283,3,15-01-2024 12:00,1674.07,Utilities,Card Swipe,iPhone,Delhi,0
500284,3,15-01-2024 18:00,1601.06,Pharmacy,Mobile Banking,Android,Bangalore,0
500285,3,16-01-2024 00:00,1711.28,Pharmacy,POS Machine,iPhone,Bangalore,0
500286,3,16-01-2024 06:00,1642.55,Pharmacy,Mobile Banking,Android,Chennai,0
500287,3,16-01-2024 12:00,2374.92,Restaurants,UPI,Web Browser,Pune,0
500288,3,16-01-2024 18:00,1329.16,Grocery,Mobile Banking,Web Browser,Delhi,0
500289,3,17-01-2024 00:00,1365.25,Shopping,POS Machine,Android,Pune,0
500290,3,17-01-2024 06:00,1334.1,Utilities,POS Machine,iPhone,Pune,0
500291,3,17-01-2024 12:00,1356.98,Utilities,Card Swipe,Android,Bangalore,0
500292,3,17-01-2024 18:00,1329.28,Online Store,UPI,iPhone,Hyderabad,0
500293,3,18-01-2024 00:00,1946.79,Bill Payment,POS Machine,iPhone,Delhi,0
500294,3,18-01-2024 06:00,2025.05,Utilities,Card Swipe,Web Browser,Bangalore,0
500295,3,18-01-2024 12:00,1351.81,Bill Payment,Mobile Banking,Web Browser,Hyderabad,0
500296,3,18-01-2024 18:00,1263.36,Bill Payment,Mobile Banking,Web Browser,Mumbai,0
500297,3,19-01-2024 00:00,1704.17,Pharmacy,Card Swipe,iPhone,Delhi,0
500298,3,19-01-2024 06:00,1358.08,Utilities,Card Swipe,Web Browser,Hyderabad,0
500299,3,19-01-2024 12:00,1758.78,Shopping,Mobile Banking,Android,Chennai,0
500300,3,19-01-2024 18:00,1613.39,Travel,POS Machine,Android,Chennai,0
500301,3,20-01-2024 00:00,1032.31,Online Store,UPI,iPhone,Chennai,0
500302,3,20-01-2024 06:00,2067.99,Grocery,Net Banking,Android,Mumbai,0
500303,3,20-01-2024 12:00,2151.97,Utilities,Card Swipe,Web Browser,Hyderabad,0
500304,3,20-01-2024 18:00,1337.6,Shopping,UPI,Android,Bangalore,0
500305,3,21-01-2024 00:00,1413.7,Bill Payment,Net Banking,iPhone,Chennai,0
500306,3,21-01-2024 06:00,1641.43,Online Store,Card Swipe,Android,Delhi,0
500307,3,21-01-2024 12:00,1657.86,Utilities,UPI,Android,Hyderabad,0
500308,3,21-01-2024 18:00,1767.44,Utilities,Net Banking,Android,Mumbai,0
500309,3,22-01-2024 00:00,2224.43,Online Store,POS Machine,Android,Bangalore,0
500310,3,22-01-2024 06:00,1484.96,Shopping,Mobile Banking,Android,Mumbai,0
500311,3,22-01-2024 12:00,1274.88,Grocery,POS Machine,Web Browser,Chennai,0
500312,3,22-01-2024 18:00,1078.44,Utilities,Net Banking,Android,Pune,0
